Ticker,Address,City,State,Country,Website,Sector,Industry,Description,Latitude,Longitude
QQQ,,,,,,,,"To maintain the correspondence between the composition and weights of the securities in the trust (the ""securities"") and the stocks in the NASDAQ-100 Index®, the adviser adjusts the securities from time to time to conform to periodic changes in the identity and/or relative weights of index securities. The composition and weighting of the securities portion of a portfolio deposit are also adjusted to conform to changes in the index.",29.3644727,112.3905651
QTWO,10355 Pecan Park Boulevard,Austin,TX,United States,https://www.q2.com,Technology,Software - Application,"Q2 Holdings, Inc. provides cloud-based digital solutions to regional and community financial institutions in the United States. The company offers Digital Banking Platform, an end-to-end digital banking platform supports its financial institution customers in their delivery of unified digital banking services across digital channels. Its digital banking platform solutions, comprising Q2 Consumer Banking, Q2 Small Business and Commercial, Q2mobile Remote Deposit Capture, Q2 Sentinel, Q2 Patrol, Q2 SMART, Q2 Contextual Personal Financial Management, Q2 Goals, Q2 CardSwap, Q2 Gro, Q2 Innovation Studio, Q2 Biller Direct, ClickSWITCH, Sensibill, Centrix Dispute Tracking System, Centrix Payments I.Q. System, and Centrix Exact/Transaction Management System. The company also provides lending solutions, which consists precisionlender solutions, a cloud-based platform, data-driven sales enablement, relationship pricing, and portfolio management solution includes precisionlender platform, premium treasury pricing, data studio, and Andi; and Q2 Cloud Lending solutions, a cloud-based digital lending platform and end-to-end lending solution that allows financial institutions, FinTechs, and Alt-FIs to automate and digitize their lending activities, supporting digital lending applications, scoring, underwriting, servicing, and collections for multiple assets classes comprising Q2 CL portal, originate, loan, marketplace, and collections. In addition, it offers Q2 Innovation Studio, an application program interface, or API, based and software development kit, or SDK, based open technology platform; and Helix, a cloud-native, real-time core processing platform. The company was formerly known as CBG Holdings, Inc. and changed its name to Q2 Holdings, Inc. in March 2013. Q2 Holdings, Inc. was founded in 2004 and is headquartered in Austin, Texas.",30.2711286,-97.7436995
SPY,,,,,,,,"The Trust seeks to achieve its investment objective by holding a portfolio of the common stocks that are included in the index (the “Portfolio”), with the weight of each stock in the Portfolio substantially corresponding to the weight of such stock in the index.",29.3644727,112.3905651
^GSPC,,,,,,,,,29.3644727,112.3905651
^IXIC,,,,,,,,,29.3644727,112.3905651
^RUT,,,,,,,,,29.3644727,112.3905651
^DJI,,,,,,,,,29.3644727,112.3905651
A,5301 Stevens Creek Boulevard,Santa Clara,CA,United States,https://www.agilent.com,Healthcare,Diagnostics & Research,"Agilent Technologies, Inc. provides application focused solutions to the life sciences, diagnostics, and applied chemical markets worldwide. The company operates in three segments: Life Sciences and Applied Markets, Diagnostics and Genomics, and Agilent CrossLab. The Life Sciences and Applied Markets segment offers liquid chromatography systems and components; liquid chromatography mass spectrometry systems; gas chromatography systems and components; gas chromatography mass spectrometry systems; inductively coupled plasma mass spectrometry instruments; atomic absorption instruments; microwave plasma-atomic emission spectrometry instruments; inductively coupled plasma optical emission spectrometry instruments; raman spectroscopy; cell analysis plate based assays; flow cytometer; real-time cell analyzer; cell imaging systems; microplate reader; laboratory software; information management and analytics; laboratory automation and robotic systems; dissolution testing; and vacuum pumps, and measurement technologies. The Diagnostics and Genomics segment focuses on genomics, nucleic acid contract manufacturing and research and development, pathology, companion diagnostics, reagent partnership, and biomolecular analysis businesses. The Agilent CrossLab segment provides GC and LC columns, sample preparation products, custom chemistries, and laboratory instrument supplies; and offers services portfolio, including repairs, parts, maintenance, installations, training, compliance support, software as a service, asset management, and consulting services. The company markets its products through direct sales, distributors, resellers, manufacturer's representatives, and electronic commerce. Agilent Technologies, Inc. was incorporated in 1999 and is headquartered in Santa Clara, California.",37.2333253,-121.6846349
AA,201 Isabella Street,Pittsburgh,PA,United States,https://www.alcoa.com,Basic Materials,Aluminum,"Alcoa Corporation, together with its subsidiaries, produces and sells bauxite, alumina, and aluminum products in the United States, Spain, Australia, Iceland, Norway, Brazil, Canada, and internationally. The company operates through two segments, Alumina and Aluminum. It engages in bauxite mining operations; and processes bauxite into alumina and sells it to customers who process it into industrial chemical products, as well as aluminum smelting and casting businesses. The company offers primary aluminum in the form of alloy ingot or value-add ingot to customers that produce products for the transportation, building and construction, packaging, wire, and other industrial markets; and flat-rolled aluminum in the form of sheet, which is sold primarily to customers that produce beverage and food cans. In addition, it owns hydro power plants that generates and sells electricity in the wholesale market to traders, large industrial consumers, distribution companies, and other generation companies. The company was formerly known as Alcoa Upstream Corporation and changed its name to Alcoa Corporation in October 2016. The company was founded in 1886 and is headquartered in Pittsburgh, Pennsylvania.",40.4416941,-79.9900861
AAL,1 Skyview Drive,Fort Worth,TX,United States,https://www.americanairlines.in/intl/in/index.jsp,Industrials,Airlines,"American Airlines Group Inc., through its subsidiaries, operates as a network air carrier. The company provides scheduled air transportation services for passengers and cargo through its hubs in Charlotte, Chicago, Dallas/Fort Worth, Los Angeles, Miami, New York, Philadelphia, Phoenix, and Washington, D.C., as well as through partner gateways in London, Doha, Madrid, Seattle/Tacoma, Sydney, and Tokyo. It operates a mainline fleet of 965 aircraft. The company was formerly known as AMR Corporation and changed its name to American Airlines Group Inc. in December 2013. American Airlines Group Inc. was founded in 1926 and is headquartered in Fort Worth, Texas.",32.753177,-97.3327459
