symbol,Buy Date,Buy Price,Last,Target,1d%,63d%,Sell Date,Sell Price,RTD,RTD (GSPC),Earnings
LULU,3/25/2024,387.78,,408.35,-0.71,-24.48,,,-0.42,-0.28,3.0
LULU,3/25/2024,389.02,,408.35,-0.71,-24.48,,,-0.74,-0.28,3.0
SJW,2/28/2024,55.26,,61.619881,0.07,-16.54,,,0.54,2.64,24.0
TSLA,3/5/2024,179.7289,,190.445738,2.92,-32.04,,,-1.15,2.46,-15.0
NKE,3/6/2024,97.4,,102.736049,-1.25,-14.92,,,-4.95,1.94,3.0
PYPL,7/30/2021,276.4928,,,1.02,0.8,,,-75.89,18.39,33.0
ICUI,8/3/2023,169.47,,,2.68,-10.42,,,-40.54,15.59,20.0
PODD,8/3/2023,264.35,,,0.47,-25.25,,,-37.39,15.59,23.0
IONS,3/14/2024,41.75,,,0.46,-17.63,3/26/2024,44.31,6.13,1.03,24.0
YELP,2/20/2024,37.19,,,-0.1,-21.02,3/21/2024,38.97,4.79,5.35,-26.0
DIOD,3/14/2024,65.0,,,-0.63,-17.83,3/21/2024,68.68,5.66,1.77,34.0
ABR,3/4/2024,12.65,,,-0.7,-20.53,3/21/2024,13.31,5.22,2.16,26.0
WAFD,3/14/2024,26.5,,,-1.08,-18.98,3/20/2024,28.35,6.98,1.44,-11.0
CHRW,3/5/2024,69.15,,,-2.66,-17.79,3/6/2024,74.1,7.16,0.51,-20.0
AES,2/27/2024,15.0887,,,1.16,-14.05,3/4/2024,16.15,7.03,1.04,21.0
ACLS,2/20/2024,111.85,,,-1.38,-22.89,3/7/2024,118.0,5.5,3.65,-25.0
ALNY,2/16/2024,147.4369,,,-0.07,-23.32,2/21/2024,154.845,5.02,-0.47,-26.0
ABM,1/16/2024,41.515,,,-0.09,-4.16,3/20/2024,44.0,5.99,9.62,13.0
MUR,1/16/2024,38.285,,,-1.17,-1.17,3/1/2024,40.403808,5.53,7.79,-25.0
ASH,6/23/2023,82.0414,,,-0.47,-2.06,7/19/2023,90.56,10.38,5.0,-29.0
MTDR,3/9/2023,53.045,,,-5.02,-5.16,7/19/2023,56.0,5.57,16.52,-19.0
QQQ,4/29/2022,315.8199,,,-0.32,-0.69,6/15/2023,371.0,17.47,7.11,
SPY,4/29/2022,414.4484,,,-0.18,-0.65,6/15/2023,443.0,6.89,7.11,
MSFT,12/17/2021,322.4889,,,-0.29,-1.8,7/18/2023,356.66,10.6,-1.42,-19.0
GLOB,9/28/2021,288.7884,,,0.56,-20.3,5/19/2023,166.4537,-42.36,-3.69,27.0
DECK,9/24/2021,390.3333,,,0.52,-1.63,11/22/2021,444.3577,13.84,5.11,37.0
EL,9/20/2021,310.26,,,0.1,-11.8,12/9/2021,360.4124,16.16,7.11,-25.0
WMS,9/15/2021,105.335,,,-0.48,-2.83,11/22/2021,133.605,26.84,4.51,32.0
DECK,9/8/2021,400.94,,,0.52,-1.63,11/22/2021,444.3577,10.83,3.74,37.0
STAA,7/14/2021,129.6958,,,-3.17,-9.11,8/5/2021,152.76,17.78,1.25,21.0
RNG,3/4/2021,325.5601,,,-2.82,-6.19,11/10/2022,37.0913,-88.61,4.99,25.0
RNG,3/4/2021,325.76,,,-2.82,-6.19,11/10/2022,37.0913,-88.61,4.99,25.0
ENPH,2/22/2021,171.8592,,,-1.53,-20.38,10/27/2021,213.2717,24.1,17.42,-19.0
ENPH,2/22/2021,171.4388,,,-1.53,-20.38,10/27/2021,213.2717,24.4,17.42,-19.0
NICE,2/19/2021,246.1778,,,0.49,0.14,7/23/2021,287.0352,16.6,12.93,23.0
SHOP,1/29/2021,109.61539,,,0.14,-13.44,1/25/2023,46.6238,-57.47,8.13,-26.0
CHDN,1/27/2021,187.25,,,2.65,-10.94,2/22/2021,227.1185,21.29,3.35,-20.0
HUBS,1/27/2021,361.43,,,0.35,-2.26,2/12/2021,516.0,42.77,4.91,-25.0
TEAM,1/27/2021,221.535,,,-0.65,-25.42,6/14/2021,250.3917,13.03,13.45,-26.0
DHR,11/25/2020,216.5576,,,0.27,-3.02,4/13/2021,242.905,12.17,14.1,-19.0
PEN,11/25/2020,224.9196,,,0.35,-19.14,1/25/2021,279.435,24.24,6.22,23.0
CHDN,10/28/2020,160.095,,,2.65,-10.94,11/9/2020,184.72,15.38,8.54,-20.0
ENV,10/28/2020,77.1905,,,-1.7,-1.85,11/3/2020,81.0276,4.97,3.0,23.0
MOH,10/28/2020,194.92,,,1.44,-0.26,11/3/2020,211.866,8.69,3.0,-20.0
NICE,10/22/2020,225.185,,,0.49,0.14,11/3/2020,235.2184,4.46,-2.44,23.0
CVNA,10/20/2020,200.7236,,,,,11/17/2020,219.74,9.47,4.83,
PYPL,9/8/2020,186.895,,,1.02,0.8,10/1/2020,198.8755,6.41,1.47,33.0
SNPS,9/8/2020,200.05,,,0.0,-2.94,9/28/2020,211.98,5.96,0.59,24.0
